-22,45,zK86PoIcKBS5jTHXWxUX2Y8tz70=,BgJDJeR13P27OsiO++Ua+tnQ6y0=
-20,45,zK86PoIcKBS5jTHXWxUX2Y8tz70=,BgJDJeR13P27OsiO++Ua+tnQ6y0=
-20,35,zK86PoIcKBS5jTHXWxUX2Y8tz70=,OPeAKpAJReLghhL4bEYIo5KTJpo=
-21,45,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,BgJDJeR13P27OsiO++Ua+tnQ6y0=
-19,45,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,BgJDJeR13P27OsiO++Ua+tnQ6y0=
-21,35,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,OPeAKpAJReLghhL4bEYIo5KTJpo=
-25,39,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,9HBfXe69DDysbt6wBhcAFbqnQx4=
-18,45,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,BgJDJeR13P27OsiO++Ua+tnQ6y0=
-28,39,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,9HBfXe69DDysbt6wBhcAFbqnQx4=
-24,46,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,BgJDJeR13P27OsiO++Ua+tnQ6y0=
-25,46,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,Wi5/X/6iEwivwyEXJ9frHoa5GRE=
-26,46,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,Wi5/X/6iEwivwyEXJ9frHoa5GRE=
-24,45,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,BgJDJeR13P27OsiO++Ua+tnQ6y0=
-29,34,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,9HBfXe69DDysbt6wBhcAFbqnQx4=
-22,35,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,OPeAKpAJReLghhL4bEYIo5KTJpo=
-28,46,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,Wi5/X/6iEwivwyEXJ9frHoa5GRE=
-24,44,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,BgJDJeR13P27OsiO++Ua+tnQ6y0=
-29,33,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,9HBfXe69DDysbt6wBhcAFbqnQx4=
-25,38,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,9HBfXe69DDysbt6wBhcAFbqnQx4=
-23,35,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,OPeAKpAJReLghhL4bEYIo5KTJpo=
-27,46,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,Wi5/X/6iEwivwyEXJ9frHoa5GRE=
-25,37,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,9HBfXe69DDysbt6wBhcAFbqnQx4=
-29,46,Y3s0x3fGa5vHln6mRUDAyVu/y8I=,Wi5/X/6iEwivwyEXJ9frHoa5GRE=
